Name	Set	ImageFile	Variety	Rarity	Type	Color	Lv	Grow Cost	Cost	Limit	Power	Restriction	[Guard]	Script	Burst	Text
Tamayorihime, Full Moon Miko	White Hope	WD01-001,white	LRIG	ST	Tama	W	4	3W		11						{Constant} As long as there is a Romail, Helmet Armor is on your field, all of your SIGNI get +2000 power.
Tamayorihime, Waxing Gibbous Moon Miko	White Hope	WD01-002,white	LRIG	ST	Tama	W	3	2W		8						
Tamayorihime, Half Moon Miko	White Hope	WD01-003,white	LRIG	ST	Tama	W	2	1W		5						
Tamayorihime, Waxing Crescent Moon Miko	White Hope	WD01-004,white	LRIG	ST	Tama	W	1	0W		2						
Tamayorihime, New Moon Miko	White Hope	WD01-005,white	LRIG	ST	Tama	W	0	0W		0						
Rococo Boundary	White Hope	WD01-006,white	ARTS	ST		W			3W2C			Tama Only				[Timing: Main Phase] Return up to two of your opponent's SIGNI to their hand
Avon	White Hope	WD01-007,white	ARTS	ST		W			3W					<s><l>Search deck</l><f>/vp1pt40</f></s>		[Timing: Main Phase] Search your deck for two white SIGNI, reveal them, and add them to your hand. Your deck is then shuffled.
Baroque Defense	White Hope	WD01-008,white	ARTS	ST		W			2W							[Timing: Attack Phase] Until the end of the turn, one of your opponent's LRIG OR one of your opponent's SIGNI cannot attack.
Romail, Helmet Armor	White Hope	WD01-009	SIGNI	ST	War Spirit: Arm	W	4				12000	Tama Only			Return one of your opponent's SIGNI to their hand.	{Constant} During your opponent's turn, all your SIGNI get +1000 power.
Caliburn, Greatsword	White Hope	WD01-010	SIGNI	ST	War Spirit: Arm	W	3				10000					
Tourette, Gauntlet	White Hope	WD01-011	SIGNI	ST	War Spirit: Arm	W	3				7000	Tama Only		<s><l>Search deck</l><f>/vp1pt40</f></s>	Draw a card.	"{On-Play} (W) Search your deck for one ""Romail, Helmet Armor"", reveal it, and add it to your hand. Your deck is then shuffled."
Flamber, Medium Sword	White Hope	WD01-012	SIGNI	ST	War Spirit: Arm	W	2				7000					
Kukri, Small Sword	White Hope	WD01-013	SIGNI	ST	War Spirit: Arm	W	1				3000					
Bonya, Small Bow	White Hope	WD01-014	SIGNI	ST	War Spirit: Arm	W	1				1000	Tama Only		<s><l>Look at top 3</l><f>/vp1pt3</f></s>		{On-Play} Look at the top three cards of your deck, then return them in any order you choose.
Get Bible	White Hope	WD01-015	Spell	ST		W			1W					<s><l>Search deck</l><f>/vp1pt40</f></s>		Search your deck for one SIGNI, reveal it, and add it to your hand. Your deck is then shuffled.
Servant D	White Hope	WD01-016	SIGNI	ST	Origin Spirit	C	2				5000		Yes		Ener Charge 1	[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Servant O	White Hope	WD01-017	SIGNI	ST	Origin Spirit	C	1				2000		Yes		Ener Charge 1	[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Jetting Knowledge	White Hope	WD01-018	Spell	ST		C			0C						Ener Charge 1	Draw a card.
Hanayo: Four	Red Ambition	WD02-001,white	LRIG	ST	Hanayo	R	4	3R		11						"{Constant} As long as ""Volcano, Natural Stone"" exists on your side of the field, all your SIGNI get +2000 power."
Hanayo: Three	Red Ambition	WD02-002,white	LRIG	ST	Hanayo	R	3	2R		8						
Hanayo: Two	Red Ambition	WD02-003,white	LRIG	ST	Hanayo	R	2	1R		5						
Hanayo: One	Red Ambition	WD02-004,white	LRIG	ST	Hanayo	R	1	0R		2						
Hanayo: Zero	Red Ambition	WD02-005,white	LRIG	ST	Hanayo	R	0	0R		0						
Firefly Sparks	Red Ambition	WD02-006,white	ARTS	ST		R			3R							[Timing: Main Phase] Banish one of your opponent's SIGNI with a power of 15000 or less.
Back Against the Flame	Red Ambition	WD02-007,white	ARTS	ST		R			2R			Hanayo Only				[Timing: Main Phase] Discard three cards from your hand. If you do, banish all SIGNI. (Your SIGNI are also included)
Burning Stone Flame	Red Ambition	WD02-008,white	ARTS	ST		R			1R1C							[Timing: Main Phase] Banish one of your opponent's SIGNI with a power of 7000 or less.
Volcano, Natural Stone	Red Ambition	WD02-009	SIGNI	ST	Nature Spirit: Ore	R	4				12000	Hanayo Only			Banish one of your opponent's SIGNI with a power of 7000 or less.	{On-Play} (RRR) Banish one of your opponent's SIGNI with a power of 15000 or less.
Silvan, Natural Stone	Red Ambition	WD02-010	SIGNI	ST	Nature Spirit: Ore	R	3				10000					
Garnet, Natural Stone	Red Ambition	WD02-011	SIGNI	ST	Nature Spirit: Gem	R	3				7000	Hanayo Only			Draw a card.	{On-Play} Until the end of your turn, this SIGNI's power is 15000.
Bronda, Natural Stone	Red Ambition	WD02-012	SIGNI	ST	Nature Spirit: Ore	R	2				7000					
Iron, Natural Stone	Red Ambition	WD02-013	SIGNI	ST	Nature Spirit: Ore	R	1				3000					
Amethyst, Natural Stone	Red Ambition	WD02-014	SIGNI	ST	Nature Spirit: Gem	R	1				1000	Hanayo Only				{On-Play} You may banish one of your opponent's SIGNI with a power of 1000 or less.
Roaring Flame Pillar	Red Ambition	WD02-015	Spell	ST		R			1R							Banish one of your opponent's SIGNI with a power of 5000 or less.
Servant D	Red Ambition	WD02-016	SIGNI	ST	Origin Spirit	C	2				5000		Yes		Ener Charge 1	[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Servant O	Red Ambition	WD02-017	SIGNI	ST	Origin Spirit	C	1				2000		Yes		Ener Charge 1	[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Jetting Knowledge	Red Ambition	WD02-018	Spell	ST		C			0C						Ener Charge 1	Draw a card.
Code Piruluk: Tera	Blue Appli	WD03-001,white	LRIG	ST	Piruluk	U	4	3U		11						"{Constant} As long as ""Code Art R-M-N"" exists on your side of the field, when your opponent has one of fewer cards in their hand, all of your SIGNI get +2000 power."
Code Piruluk: Giga	Blue Appli	WD03-002,white	LRIG	ST	Piruluk	U	3	2U		8						
Code Piruluk: Mega	Blue Appli	WD03-003,white	LRIG	ST	Piruluk	U	2	1U		5						
Code Piruluk: Kilo	Blue Appli	WD03-004,white	LRIG	ST	Piruluk	U	1	0U		2						
Code Piruluk	Blue Appli	WD03-005,white	LRIG	ST	Piruluk	U	0	0U		0						
Peeping Analyze	Blue Appli	WD03-006,white	ARTS	ST		U			3U			Piruluk Only				[Timing: Main Phase] Name a number. Your opponent then reveals their hand and discards all SIGNI with a level equal to that number.
Don't Move	Blue Appli	WD03-007,white	ARTS	ST		U			3U							[Timing: Attack Phase] Move up to two of your opponent's SIGNI to the Down position.
Draw Two	Blue Appli	WD03-008,white	ARTS	ST		U			1U1C							[Timing: Main Phase] Draw two cards.
Code Art R-M-N	Blue Appli	WD03-009	SIGNI	ST	Machine Spirit: Electric Machine	U	4				12000	Piruluk Only			Your opponent discards a card.	{On-Play} (U) Choose one card from your opponent's hand at random and discard it.
Code Art D-R-S	Blue Appli	WD03-010	SIGNI	ST	Machine Spirit: Electric Machine	U	3				10000					
Code Art S-M-P	Blue Appli	WD03-011	SIGNI	ST	Machine Spirit: Electric Machine	U	3				7000	Piruluk Only			Draw a card.	{On-Play} Look at your opponent's hand and choose one level 1 card. That card is discarded.
Code Art J-V	Blue Appli	WD03-012	SIGNI	ST	Machine Spirit: Electric Machine	U	2				7000					
Code Art S-C	Blue Appli	WD03-013	SIGNI	ST	Machine Spirit: Electric Machine	U	1				3000					
Code Art R-F-R	Blue Appli	WD03-014	SIGNI	ST	Machine Spirit: Electric Machine	U	1				1000	Piruluk Only				{On-Play} Draw a card. Then, discard a card.
TOO BAD	Blue Appli	WD03-015	Spell	ST		U			1U							Choose one card from your opponent's hand at random and discard it.
Servant D	Blue Appli	WD03-016	SIGNI	ST	Origin Spirit	C	2				5000		Yes		Ener Charge 1	[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Servant O	Blue Appli	WD03-017	SIGNI	ST	Origin Spirit	C	1				2000		Yes		Ener Charge 1	[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Jetting Knowledge	Blue Appli	WD03-018	Spell	ST		C			0C						Ener Charge 1	Draw a card.
Midoriko, Fourth Girl	Green Wanna	WD04-001,white	LRIG	ST	Midoriko	G	4	3G		11						"{Constant} As long as ""Seiryu, Phantom Beast"" exists on your side of the field, when you have 7 or more cards in your Ener Zone, all of your SIGNI get +2000 power."
Midoriko, Third Girl	Green Wanna	WD04-002,white	LRIG	ST	Midoriko	G	3	2G		8						
Midoriko, Second Girl	Green Wanna	WD04-003,white	LRIG	ST	Midoriko	G	2	1G		5						
Midoriko, First Girl	Green Wanna	WD04-004,white	LRIG	ST	Midoriko	G	1	0G		2						
Midoriko, Combat Girl	Green Wanna	WD04-005,white	LRIG	ST	Midoriko	G	0	0G		0						
All Yell	Green Wanna	WD04-006,white	ARTS	ST		G			1G			Midoriko Only				[Timing: Main Phase] Until the end of your turn, all of your SIGNI get +5000 power.
Wake Up	Green Wanna	WD04-007,white	ARTS	ST		G			1G							[Timing: Main Phase] Add up to two cards from your Ener Zone to your hand.
Big Wave	Green Wanna	WD04-008,white	ARTS	ST		G			3G							[Timing: Main Phase; Attack Phase] Banish one of your opponent's SIGNI with a power of 12000 or more.
Seiryu, Phantom Beast	Green Wanna	WD04-009	SIGNI	ST	Living Spirit: Earth Beast	G	4				12000	Midoriko Only			Banish one of your opponent's SIGNI with a power of 10000 or more.	{Constant} As long as all three SIGNI on your side of the field have powers of 15000 or more, this SIGNI gains [Lancer].
Misuzaku, Phantom Beast	Green Wanna	WD04-010	SIGNI	ST	Living Spirit: Earth Beast	G	3				8000	Midoriko Only			Banish one of your opponent's SIGNI with a power of 12000 or more.	{Constant} As long as this SIGNI's power is 10000 or more, it gains Lancer.
Bigtatt, Phantom Beast	Green Wanna	WD04-011	SIGNI	ST	Living Spirit: Earth Beast	G	3				8000	Midoriko Only			Ener Charge 1	{On-Play} Until the end of this turn, all of your SIGNI get +2000 power.
Koalan, Phantom Beast	Green Wanna	WD04-012	SIGNI	ST	Living Spirit: Earth Beast	G	2				5000	Midoriko Only			Draw a card.	{On-Play} Until the end of this turn, one of your SIGNI gets +3000 Power.
